Week,Address,Number of delivered orders,Basket size,Bad rated orders due to wrong or Missing Products,Bad rated orders due to store packaging Issues,Bad rated orders due to store allergy not considered,Bad rated orders due to to  Poor Quality,Cancelled Orders Due to Customer Absent,Cancelled Orders due to Partner Printer/internet issue,Cancelled Orders Due to Partner Products Not Available,Cancelled Orders Due to Partner Store Closed,Cancelled Orders Due to Store Cant Deliver,Refunds to customer,Total Order Complaint,Total Order Cancellation
04-Jan-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",104,€ 21.65,1,0,0,1,0,0,0,0,0,€ 3.25,2,0
01-Feb-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",124,€ 20.95,1,0,0,0,0,0,0,0,0,€ 3.14,1,0
08-Feb-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",71,€ 22.94,1,0,0,0,0,0,0,0,0,€ 11.47,1,0
15-Feb-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",76,€ 21.11,1,0,0,0,0,0,0,0,0,€ 3.17,1,0
08-Mar-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",87,€ 22.43,1,0,0,1,0,0,0,0,0,€ 6.73,2,0
05-Apr-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",90,€ 23.42,1,0,0,1,0,0,0,0,0,€ 3.51,2,0
26-Apr-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",97,€ 24.75,1,0,0,0,0,0,0,0,0,€ 12.38,1,0
17-May-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",109,€ 20.81,1,0,0,0,0,0,0,0,0,€ 10.40,1,0
24-May-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",86,€ 22.18,1,0,0,0,0,0,0,0,0,€ 3.33,1,0
28-Dec-20,"Av. de Monforte de Lemos, 12, Madrid, Spain",84,€ 23.32,2,0,0,1,0,0,0,0,0,€ 23.32,3,0
11-Jan-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",41,€ 23.95,2,0,0,0,0,0,0,0,0,€ 14.37,2,0
18-Jan-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",121,€ 20.30,2,0,0,0,0,0,0,0,0,€ 20.30,2,0
15-Mar-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",99,€ 21.94,2,0,0,1,0,0,0,0,0,€ 6.58,3,0
22-Mar-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",90,€ 24.09,2,0,0,0,0,0,0,0,0,€ 24.09,2,0
29-Mar-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",86,€ 23.66,2,0,0,0,0,0,0,0,0,€ 14.20,2,0
22-Feb-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",69,€ 21.23,0,0,0,2,0,0,0,0,0,€ 0.00,2,0
12-Apr-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",68,€ 20.31,2,0,0,0,0,0,0,0,0,€ 12.19,2,0
01-Mar-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",96,€ 22.03,0,0,0,0,0,0,0,0,0,€ 0.00,0,0
19-Apr-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",76,€ 20.65,2,0,0,0,0,2,0,0,1,€ 6.20,2,3
25-Jan-25,"Av. de Monforte de Lemos, 12, Madrid, Spain",122,€ 20.20,3,0,0,0,0,0,0,0,0,€ 18.18,3,0
